CLUSTER_ID,TIMESTAMP,TRIAL,CUSTOMER_TYPE,SPATIAL_STATE,STATE_TARGET,CUSTOMER_FROM_MOTION,CUSTOMER_TO_MOTION,CUSTOMER_LOCATION,SHOPKEEPER_FROM_MOTION,SHOPKEEPER_TO_MOTION,SHOPKEEPER_LOCATION,CUSTOMER_SPEAKING,CUSTOMER_SPEECH,CUSTOMER_KEYWORDS,CUSTOMER_SPEECH_DURATION,SHOPKEEPER_SPEAKING,SHOPKEEPER_SPEECH,SHOPKEEPER_KEYWORDS,SHOPKEEPER_SPEECH_DURATION,BAD_CLUSTER,TYPICAL_VECTOR
100;PRESENT_X;CANON,1435907282,234,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,thanks a lot for your time look forward to seeing you again,NO_KEYWORD,4000,-,-
100;PRESENT_X;CANON,1437633425,520,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,great look forward to seeing you again,NO_KEYWORD,2580,-,*
100;PRESENT_X;CANON,1437644124,548,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,I look forward to it,NO_KEYWORD,3000,-,-
100;PRESENT_X;NIKON,1435220313,140,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,thank you look forward to seeing you again,NO_KEYWORD,3169,-,*
100;PRESENT_X;NIKON,1437634283,522,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,I look forward to seeing you then have a great afternoon thank you,NO_KEYWORD,6051,-,-
100;PRESENT_X;SONY,1437633896,521,ADVANCED,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,thank you look forward to seeing you again have a great afternoon,NO_KEYWORD,3477,-,-
100;PRESENT_X;SONY,1437643740,547,NOVICE,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,thank you i look forward to seeing you again,NO_KEYWORD,3244,-,*
101;PRESENT_X;CANON,1437647886,555,NOVICE,PRESENT_X,CANON,NONE,NONE,DOOR,SERVICE_COUNTER,CANON,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,good evening how can I help,good evening,3014,-,-
101;PRESENT_X;CANON,1437650203,564,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,anytime have a good evening,good evening,3097,-,*
101;PRESENT_X;NIKON,1437649544,561,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,thank you for your time have a good evening thank you,good evening;time,6949,-,*
101;PRESENT_X;NIKON,1437649765,562,ADVANCED,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,then have a good evening,good evening,3949,-,-
101;PRESENT_X;NIKON,1437650479,565,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,okay we'll see you tomorrow have a good evening thank you,good evening,6485,-,-
101;PRESENT_X;SONY,1435223672,151,ADVANCED,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,Daiso goes up to 3200 very good evening to you and that you will need to flesh,good evening;Daiso,5604,-,*
101;WAITING;NONE,1437648585,557,NOVICE,WAITING,NONE,NONE,NONE,NIKON,NIKON,SERVICE_COUNTER,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,did you have a good evening,good evening,2085,-,*
102;PRESENT_X;CANON,1435219983,139,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,black black only,NO_KEYWORD,2888,-,*
102;PRESENT_X;CANON,1435222921,147,NOVICE,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,if only black,NO_KEYWORD,2055,-,-
102;PRESENT_X;CANON,1436424206,360,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,the senior looked at before is half the white,NO_KEYWORD,3234,-,-
102;PRESENT_X;CANON,1437633678,521,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,black animal Friday the full professional camera,NO_KEYWORD,2181,-,-
102;PRESENT_X;CANON,1437645768,553,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,it's only available in black,NO_KEYWORD,2541,-,-
102;PRESENT_X;NIKON,1437634486,523,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,I'm afraid not know about cameras coming great,NO_KEYWORD,3357,-,*
102;PRESENT_X;SONY,1437720890,572,ADVANCED,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,I'm afraid so,NO_KEYWORD,2033,-,*
103;PRESENT_X;CANON,1435222502,145,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,yes and then the lenses can cause just as much or even more,lenses,3364,-,-
103;PRESENT_X;CANON,1435905843,231,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,do you have any lenses now that would be usable with the spotting,spotting;lenses,3621,-,-
103;PRESENT_X;CANON,1436432247,386,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,how old are The lenses that you have now,lenses,2578,-,-
103;PRESENT_X;CANON,1436434268,394,NOVICE,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,how old are The lenses you have,lenses,1950,-,*
103;PRESENT_X;CANON,1436436114,400,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,do you have any lenses of your own,lenses,1975,-,-
103;PRESENT_X;CANON,1437724076,581,ADVANCED,PRESENT_X,CANON,SONY,CANON,CANON,SONY,CANON,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,its something you enjoy and you have some lenses are they Canon lens,Canon lens;lenses,5466,-,-
103;PRESENT_X;CANON,1437724095,581,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,and the lenses of the same H,lenses,3000,-,-
104;PRESENT_X;NIKON,1436433941,393,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,purple black pink silver and red,black pink silver,3645,-,-
104;PRESENT_X;NIKON,1436436022,399,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,legal to go to in black red pink and purple,black red pink;purple,2799,-,-
104;PRESENT_X;NIKON,1437720253,569,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,it goes to go to do black silver red and purple,black silver,4000,-,-
104;PRESENT_X;NIKON,1438239034,625,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,obviously this silver little circle black red pink blue,silver little circle,4004,-,-
104;PRESENT_X;NIKON,1438239322,626,ADVANCED,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,black pink silver red and blue,black pink silver,2862,-,-
104;PRESENT_X;NIKON,1438243024,634,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,black silver red pink and purple,black silver,2902,-,*
104;PRESENT_X;SONY,1435223058,148,NOVICE,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,the color choice he is white silver and black,color choice,3588,-,*
105;PRESENT_X;CANON,1435224769,156,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,this particular body is $2000 ,particular body,3289,-,*
105;PRESENT_X;CANON,1436431891,384,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,without a license $2000,license,3000,-,-
105;PRESENT_X;CANON,1437632635,517,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,happy consisted of blazer and you can have a new stove it's quite expensive devotee alone is around $2000,NO_KEYWORD,10000,-,-
105;PRESENT_X;NIKON,1436424023,359,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,This is a $68 of the cameras he range up to $2000 with Evelyn's,Evelyn;cameras,5068,-,-
105;PRESENT_X;NIKON,1436424036,359,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no that's the camera that's $2000 Whitner lens so the price doubles,price doubles;Whitner lens;camera,5000,-,-
