,SPEECH,SHOPKEEPER,SPATIAL_STATE,CLUSTER_ID,TYPICAL_VECTOR,INTRACLUSTER_DISTANCE,TSS,IS_BAD_CLUSTER
3741,NONE,PASSIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
4344,NONE,PASSIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
4784,NONE,PASSIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
1926,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
932,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
4354,NONE,PASSIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,*,1.0,,-
854,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
4605,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2878,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
3634,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
407,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
4524,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
3680,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
3717,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
3719,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
611,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
3621,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
3622,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
3721,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
777,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
