,SPEECH,SHOPKEEPER,SPATIAL_STATE,CLUSTER_ID,TYPICAL_VECTOR,INTRACLUSTER_DISTANCE,TSS,IS_BAD_CLUSTER
2336,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
1326,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
1419,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
1460,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
1522,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
1538,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,*,1.0,,-
1563,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
1571,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
1178,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
1582,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
4344,NONE,PASSIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
2338,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
2337,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
3741,NONE,PASSIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
2307,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
2125,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
1924,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
1614,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
747,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
1459,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
293,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
1013,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
931,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
1014,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1.0,,-
320,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
123,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2374,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2371,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2369,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2368,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2367,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
285,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
3533,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
204,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
3543,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2300,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2296,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2293,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2276,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2261,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2172,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
246,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2089,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
623,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2071,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
244,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2049,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,*,1.0,,-
3595,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2402,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
288,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
307,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
3330,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
3301,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
334,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
3246,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
305,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
304,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2896,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2836,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2711,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
469,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2600,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
155,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
4227,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
4237,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
301,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2035,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2533,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2529,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2431,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
3495,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2428,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2427,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
290,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
286,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1980,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2482,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1313,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
944,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1683,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1681,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1678,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
4914,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1049,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1053,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
941,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1094,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
4885,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1124,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1140,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
4759,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1208,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
4815,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1938,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1276,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
938,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1118,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1936,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
4605,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1848,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1806,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
846,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1937,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
1854,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
826,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1.0,,-
2744,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2788,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2734,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2803,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2824,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
1231,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
442,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2771,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
920,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2697,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
452,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2642,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2629,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
1240,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
1266,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2591,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
474,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
831,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2589,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2586,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2583,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
1239,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
395,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2971,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2883,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
863,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
3509,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
3551,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
275,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
3573,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
3579,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
766,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
960,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
963,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
1062,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
393,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
310,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
3379,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
3340,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
253,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
3267,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
3099,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
358,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
3002,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
250,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2979,NONE,PASSIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
934,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
254,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2581,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
1941,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2565,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2354,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2351,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
559,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
564,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
1671,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
1672,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
1673,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2330,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2327,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2326,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2312,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2310,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
1686,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2287,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
1688,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2269,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
1691,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2250,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
1723,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2160,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2156,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2155,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2128,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
1726,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2072,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2055,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2034,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
1955,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
645,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
695,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2580,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2355,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
1635,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
1282,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2562,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2561,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,*,1.0,,-
1484,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2505,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
2498,NONE,PROACTIVE,PRESENT_X;NIKON,0;PRESENT_X;NIKON,-,1.0,,-
