ACTION,TOPIC,CAMERA_OF_CONVERSATION,MEM_DEP,MEM_DEP_TOPIC,UTTERANCE_ID,UTTERANCE
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,APPEND,movement,4356,"it has really high autofocus point so you can take the pictures of people and movement really good, also it has very high ISO to take pictures in dim light"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,APPEND,movement,4356,"it has really high autofocus point so you can take the pictures of people and movement really good, also it has very high ISO to take pictures in dim light"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,APPEND,PURPOSE:outdoor,-1,this one has 61 autofocus points which will allow you to get great photos of movement if you're shooting animals outside
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,APPEND,PURPOSE:pets,-1,This one has 61 autofocus points which will let you get great photos of your pets even when they're moving around
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,APPEND,PURPOSE:sports,-1,This one has 61 autofocus points which are great for taking action shots during sporting events
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,COMPARE,SONY,4772,the previous Sony camera has more autofocus points but then with this camera you can change the lenses and have better images
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,COMPARE,SONY,4772,the previous Sony camera has more autofocus points but then with this camera you can change the lenses and have better images
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,COMPARE,SONY,4685,"the Sony has preset mode and it has more autofocus points, so if you are looking at shooting sports or family gathering, then the Sony one is better"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,COMPARE,SONY,4685,"the Sony has preset mode and it has more autofocus points, so if you are looking at shooting sports or family gathering, then the Sony one is better"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,2367,"also it only has 61 autofocus points, what they found is with better software interpreting the results, you can be much more responsive an accurate if it process less data that's well chosen"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,2367,"also it only has 61 autofocus points, what they found is with better software interpreting the results, you can be much more responsive an accurate if it process less data that's well chosen"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,1915,"compare to  the previous model there is less, they actually change the software so they can get a really accurate fast results from less data, there 61 autofocus points"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,1915,"compare to  the previous model there is less, they actually change the software so they can get a really accurate fast results from less data, there 61 autofocus points"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,1425,"compared to other model of camera, it has 61 autofocus points but  fantastic software behind those, so it's got  less data to work with it can be much more responsive and the accuracy is pinpoint it's fantastic"
